Sign Account,Street Number,Street Name,Size (LxW),Location Description (if no address),X Coordinate,Y Coordinate,Sign Type,Sign Technology,Sign Face Direction,Illumination,Sign Owner,Sign Owner Identifier,Context Picture Hyperlink,Ward_ID
44-001,4566-4568,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330183.18,4848008.89,Ground,STATIC,W,Down,PATTISON,5364A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w1zb8d14rj&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278310&phx=0&phy=0&phscl=1&encType=1,44
44-001,4566-4568,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330184.17,4848001.36,Ground,STATIC,E,Down,PATTISON,5364B,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w0yq8d14v1&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278214&phx=0&phy=0&phscl=1&encType=1,44
44-002,4528,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330055.54,4847844.62,Roof,STATIC,NE,Up,CBS,1633,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8vrt28d10xc&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278214&phx=0&phy=0&phscl=1&encType=1,44
44-002,4528,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330059.83,4847841.82,Roof,STATIC,NE,Up,CBS,1634,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8vrxz8d10r7&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278214&phx=0&phy=0&phscl=1&encType=1,44
44-002,4528,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330061.23,4847842.89,Roof,STATIC,SW,Up,CBS,1631,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8vt498d10sm&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279097&phx=0&phy=0&phscl=1&encType=1,44
44-002,4528,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330056.86,4847846.19,Roof,STATIC,SW,Up,CBS,1632,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8vsyx8d10z6&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28279097&phx=0&phy=0&phscl=1&encType=1,44
44-003,4543-4551,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330128.32,4847813.8,Roof,STATIC,W,Up,ASTRAL,152,http://www.bing.com/maps/default.aspx?v=2&cp=r8vssk8d138v&scene=28279097&lvl=2&sty=b&where1=4551%20Kingston%20Rd%2C%20Scarborough%2C%20ON%2C%20M1E,44
44-003,4543-4551,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330129.63,4847815.04,Roof,STATIC,NE,Up,ASTRAL,151,http://www.bing.com/maps/default.aspx?v=2&cp=r8vssk8d138v&scene=28279097&lvl=2&sty=b&where1=4551%20Kingston%20Rd%2C%20Scarborough%2C%20ON%2C%20M1E,44
44-004,4569,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330195.85,4847943.53,Ground,STATIC,SE,Up,CBS,5708,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8vzck8d158p&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278431&phx=0&phy=0&phscl=1&encType=1,44
44-004,4569,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330196.76,4847944.52,Ground,STATIC,NE,Up,CBS,5707,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8vy668d1561&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278214&phx=0&phy=0&phscl=1&encType=1,44
44-005,4589-4601,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330275.99,4848002.76,Roof,STATIC,NE,Up,PATTISON,5100A,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w0cp8d17f2&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278214&phx=0&phy=0&phscl=1&encType=1,44
44-006,4667,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330977.09,4848213.07,Ground,STATIC,W,Up,CBS,6037,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8wbdw8d1y8k&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278212&phx=0&phy=0&phscl=1&encType=1,44
44-006,4667,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,330978.65,4848213.07,Ground,STATIC,E,Up,CBS,6036,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8w9sf8d1x9h&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278558&phx=0&phy=0&phscl=1&encType=1,44
44-007,6000,KINGSTON RD,12 x 16,On Kingston Rd. between Military Trail & Morningside Ave.,331319.48,4848843.1,Ground,STATIC,E,No Illumination,ASTRAL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8x4cm8d26gz&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28267655&phx=0&phy=0&phscl=1&encType=1,44
44-007,6000,KINGSTON RD,12 x 16,On Kingston Rd. between Military Trail & Morningside Ave.,331318.15,4848840.93,Ground,STATIC,SW,Up,ASTRAL,unknown,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8x5988d26wn&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278313&phx=0&phy=0&phscl=1&encType=1,44
44-008,4690,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,331093.54,4848433.89,Ground,STATIC,NE,Up,CBS,5593,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8wm488d1zb1&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278556&phx=0&phy=0&phscl=1&encType=1,44
44-008,4690,KINGSTON RD,10 x 20,On Kingston Rd. between Military Trail & Morningside Ave.,331093.06,4848432.57,Ground,STATIC,SW,Up,CBS,5592,http://maps.live.com/default.aspx?v=2&FORM=LMLTCC&cp=r8wmts8d20jn&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=28278220&phx=0&phy=0&phscl=1&encType=1,44
